WARNING: 1 open meshes merged
     Merged: Wing
...Mass Properties...
11 Num Comps
6 Total Num Meshes
6968 Total Num Tris

1.973559223105211e+00             Total Mass
7.306331478196589e-01 -3.585127267845660e-08 4.808123364671867e-09       Center of Gravity
1.045606872575166e-01 4.431572960458039e+00 4.511919567079576e+00       Ixx, Iyy, Izz
-1.626120348906216e-04 -5.918048492504016e-05 2.285592087406565e-04       Ixy, Ixz, Iyz
3.881843423772985e+00             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Wing	1.319291889460181e-01	1.489856003988756e+00	1.317872512200886e-05	1.118324399777469e-06	8.439596642130026e-02	6.938624757473578e-02	1.522898723757700e-01	-5.463680329547213e-05	-1.841531989765623e-05	7.793384788212024e-05	1.572107305610835e+00
Body	1.836353002586922e-01	5.584577773841656e-01	-9.878386368479258e-06	-7.921272162925942e-07	1.613607790358043e-02	5.138442219227938e-01	5.124029492969123e-01	-1.083710722013801e-04	-3.938112529926754e-05	1.469780967473225e-04	2.188252648341973e+00
Fin	3.126438487034259e-03	2.481524932338594e+00	-3.208904259605294e-06	6.197324041139066e-01	7.309400943451680e-05	3.342472521882259e-04	2.670184235896212e-04	-1.409309545513911e-07	3.599863429413144e-05	-1.292772164710725e-07	3.725556736364454e-02
Fin	3.126438487034259e-03	2.481524932338590e+00	3.208904259697124e-06	-6.197324041139066e-01	7.320140968161526e-05	3.343464270577469e-04	2.670266489671985e-04	-1.237268711516577e-07	-3.692459814021286e-05	-1.196226401126071e-07	3.725556736364461e-02
Inlet	1.970932609156947e-03	1.574538704600570e-02	6.002569976192929e-01	8.575813247701542e-04	2.982860106364203e-05	7.205797453112871e-05	7.207954824406289e-05	-8.335210472665306e-07	2.395504932507201e-07	5.742625080520321e-07	2.348621695074652e-02
Inlet	1.970924317268577e-03	1.574311834445755e-02	-6.002571853199219e-01	-8.538242584319773e-04	3.069959569676690e-05	7.248620040648576e-05	7.251720393168530e-05	-1.377297446963599e-07	-8.293919651026350e-07	1.309630957903510e-06	2.348611814214796e-02
Avionics_pm	3.108000000000000e-01	-1.500000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Payload_pm	3.108000000000000e-01	-6.000000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Fuel_pm	4.227000000000000e-01	8.300000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Ballast_pm	3.500000000000000e-01	2.200000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Motors_pm	2.535000000000000e-01	2.600000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	-0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.973559223105211e+00	7.306331478196589e-01	-3.585127267845660e-08	4.808123364671867e-09	1.045606872575166e-01	4.431572960458039e+00	4.511919567079576e+00	-1.626120348906216e-04	-5.918048492504016e-05	2.285592087406565e-04	3.881843423772985e+00

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-2.055000000000000e+00	3.005106457217820e-03	-2.054999999999999e+00	3.412983199491386e-17	-5.786480806802690e-18	8.729674492209063e-05	7.115523471213430e-05	1.214454489816309e-04	-1.977308138735994e-06	-5.424271367572369e-07	1.913174900302351e-06	3.580973894612077e-02
-1.765000000000000e+00	1.520389248987745e-02	-1.822319589254748e+00	5.311751422771876e-17	-2.475727078651975e-17	1.126872962910612e-03	9.929312590396667e-04	1.072264491320278e-03	-1.191196839316693e-05	-3.719326515439682e-06	1.398793262440425e-05	1.811740877664131e-01
-1.475000000000000e+00	2.740267852253709e-02	-1.667704143513365e+00	3.021510124494284e-17	-2.440318595032935e-17	2.166034069919497e-03	2.528248232136402e-03	2.636502062578381e-03	-2.181802248428593e-05	-6.889285449344111e-06	2.602602829480035e-05	3.265384365867056e-01
-1.185000000000000e+00	3.960146455519672e-02	-1.519012557736519e+00	3.254325676392945e-17	-2.153948786213888e-17	3.205335521720494e-03	5.213816868442625e-03	5.351302810650554e-03	-3.170796064803433e-05	-1.005235911449375e-05	3.818707637439662e-05	4.719027854069981e-01
-8.950000000000000e-01	5.180025058785635e-02	-1.372059684205343e+00	2.933123550359020e-17	-1.839960156074300e-17	4.244915946345551e-03	9.564262529715085e-03	9.730846696135510e-03	-4.157104643367047e-05	-1.319840604557288e-05	5.029119414138008e-05	6.172671342272907e-01
-6.050000000000000e-01	6.399903662051598e-02	-1.225851280829145e+00	2.015290462136153e-17	-2.079801181224871e-17	5.284265841441732e-03	1.609258816916922e-02	1.628819218320495e-02	-5.149281105543834e-05	-1.637211457067385e-05	6.230846441767414e-05	7.626314830475833e-01
